WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
590610736,-154.4242,-37.65664,-5325.966,397.0687,-1,33400,-5371.47051997,558.5,9998,-5367.0
590610737,-154.4312,-37.56184,-5365.521,353.5574,-1,33400,-5368.6476432,517.8,9998,-5366.0
590610738,-154.3824,-37.41853,-5340.122,311.7733,-1,33400,-5304.72670759,449.2,9998,-5308.0
590610739,-154.5104,-37.37317,-5307.12,240.642,-1,33400,-5256.36610964,376.3,9998,-5256.0
590610740,-154.5564,-37.32042,-5415.594,221.2187,-1,33400,-5349.0227026,313.2,9998,-5354.0
590610741,-154.414,-37.18815,-5368.798,298.3299,-1,33400,-5291.28634027,459.1,9998,-5298.0
590610742,-154.3321,-37.12794,-5298.227,297.9231,-1,33400,-5286.7784958,508.8,9998,-5289.0
590610743,-154.2498,-37.02092,-5375.171,364.0584,-1,33400,-5462.75070091,562.5,9998,-5457.0
590610744,-154.31,-36.98818,-5358.145,436.7136,-1,33400,-5486.32913537,616.8,9998,-5483.0
590610745,-154.3954,-36.97435,-5358.636,413.732,-1,33400,-5393.00991933,636.1,9998,-5403.0
590610746,-154.3604,-36.88042,-5357.421,518.8576,-1,33400,-5515.4404257,751.0,9998,-5520.0
590610747,-154.4765,-36.81633,-5359.388,554.8035,-1,33400,-5445.52532048,794.7,9998,-5444.0
590610748,-154.6554,-36.89556,-5406.021,471.9987,-1,33400,-5396.79670656,643.2,9998,-5403.0
590610749,-154.7065,-36.94403,-5419.745,439.9669,9998,33400,-5343.00240398,574.8,9998,-5343.0
590610750,-154.702,-37.02553,-5366.841,339.619,-1,33400,-5291.59922609,456.1,9998,-5297.0
590610751,-154.671,-37.16003,-5340.342,193.6355,-1,33400,-5302.40781803,267.9,9998,-5305.0
590610752,-154.5189,-37.25131,-5368.768,250.9253,9998,33400,-5335.96964759,350.6,9998,-5333.0
590610753,-154.2649,-37.24845,-5326.451,306.832,-1,33400,-5330.28954104,435.6,9998,-5333.0
590610754,-153.9357,-37.37095,-5438.707,77.54329,-1,33400,-5420.51406019,77.2,9998,-5441.0
590610755,-153.7274,-37.37436,-5426.508,38.89419,-1,33400,-5361.75172283,72.0,9998,-5362.0
590610756,-153.6625,-37.3101,-5462.451,66.06159,-1,33400,-5492.2754301,101.4,9998,-5491.0
590610757,-153.5606,-37.31545,-5354.987,81.31055,9998,33400,-5195.52981895,117.2,9998,-5171.0
590610758,-153.6286,-37.18919,-5389.905,67.42572,-1,33400,-5465.41565854,94.4,9998,-5464.0
590610759,-153.7389,-37.12751,-5453.15,78.87905,-1,33400,-5537.16061943,102.4,9998,-5536.0
590610760,-153.7597,-37.10088,-5430.996,87.7054,-1,33400,-5497.16109893,114.5,9998,-5500.0
590610761,-153.7099,-37.15078,-5461.269,72.13364,-1,33400,-5558.07863685,93.3,9998,-5558.0
590610764,-153.5012,-37.71124,-5444.543,213.5078,-1,33400,-5369.77098893,293.7,9998,-5368.0
590610765,-153.3387,-37.79851,-5429.594,194.772,-1,33400,-5451.35136627,253.5,9998,-5451.0
590610766,-153.4167,-37.76298,-5309.938,193.7677,-1,33400,-5308.97121635,269.5,9998,-5318.0
590610767,-153.5253,-37.69717,-5476.2,217.4646,-1,33400,-5454.97661732,297.2,9998,-5455.0
590610768,-153.385,-37.61575,-5422.229,119.2498,-1,33400,-5522.43113542,171.4,9998,-5518.0
590610769,-153.3035,-37.57435,-5364.353,72.32902,-1,33400,-5393.82247442,104.6,9998,-5392.0
590610771,-153.1293,-37.60141,-5463.375,124.8977,9998,33400,-5398.58628744,153.7,9998,-5355.0
590610773,-153.0262,-37.54977,-5479.658,167.8132,-1,33400,-5464.44172129,265.8,9998,-5465.0
590610774,-153.1238,-37.61695,-5470.626,142.9257,-1,33400,-5388.81389397,174.9,9998,-5392.0
590610775,-153.1728,-37.80442,-5422.814,231.0846,-1,33400,-5492.26400764,302.9,9998,-5493.0
590610776,-153.2819,-37.95032,-5396.607,262.7035,-1,33400,-5336.53544958,354.7,9998,-5343.0
590610777,-153.3796,-38.01671,-5401.898,253.5853,-1,33400,-5369.60856204,338.5,9998,-5371.0
590610778,-153.5456,-38.05647,-5396.458,220.6991,-1,33400,-5434.42742012,307.8,9998,-5435.0
590610779,-153.7124,-38.04272,-5385.913,216.5924,-1,33400,-5417.6407309,332.9,9998,-5409.0
590610780,-153.8322,-37.9924,-5428.242,303.3597,-1,33400,-5364.85057815,423.2,9998,-5366.0
590610781,-153.9192,-37.94733,-5450.526,326.7682,-1,33400,-5419.39496856,467.5,9998,-5418.0
590610785,-153.9038,-37.5971,-5469.376,175.309,9998,33400,-5594.08948051,239.5,9998,-5593.0
590610788,-154.0343,-37.91236,-5442.025,342.5771,-1,33400,-5427.6660413,476.1,9998,-5432.0
590610789,-153.677,-37.97913,-5436.669,285.2654,-1,33400,-5516.8074924,402.7,9998,-5518.0
590610791,-153.1318,-37.82338,-5337.992,256.2981,-1,33400,-5368.82690771,360.0,9998,-5368.0
590610792,-153.2495,-37.82794,-5481.361,213.8482,-1,33400,-5613.97524808,282.3,9998,-5615.0
590610793,-153.3143,-37.81892,-5370.143,198.2808,-1,33400,-5385.7339981,261.2,9998,-5388.0
590610794,-153.3532,-37.91931,-5397.687,242.1189,-1,33400,-5380.22829408,330.0,9998,-5383.0
590610795,-153.5084,-38.09126,-5439.326,217.2684,-1,33400,-5492.65406836,294.5,9998,-5484.0
590610796,-153.7285,-38.11475,-5335.529,170.6085,-1,33400,-5283.47152,234.9,9998,-5285.0
590610797,-153.9462,-38.07113,-5331.0,200.7504,-1,33400,-5315.5151157,282.0,9998,-5310.0
590610798,-154.3267,-37.80885,-5350.491,383.4953,-1,33400,-5398.71353569,536.1,9998,-5399.0
590610799,-154.4932,-37.69951,-5204.376,377.5943,-1,33400,-5314.1171581,549.7,9998,-5327.0
5906107100,-154.5275,-37.6436,-5353.281,383.275,-1,33400,-5441.17342766,541.1,9998,-5440.0
5906107101,-154.6055,-37.63781,-5303.313,353.5117,-1,33400,-5343.78702371,517.0,9998,-5352.0
5906107102,-154.423,-37.47889,-5299.805,310.8951,-1,33400,-5247.63447856,472.0,9998,-5247.0
5906107103,-154.4747,-37.33443,-5366.017,279.4256,-1,33400,-5287.4748715,393.8,9998,-5287.0
5906107104,-154.5929,-37.37231,-5316.708,204.9997,-1,33400,-5337.7785544,295.2,9998,-5338.0
5906107105,-154.7668,-37.56099,-5281.072,281.6089,-1,33400,-5219.67289806,398.0,9998,-5221.0
5906107106,-154.7468,-37.76685,-5266.639,267.7361,-1,33400,-5251.86468637,480.9,9998,-5250.0
5906107107,-154.728,-37.78522,-5261.012,319.1143,-1,33400,-5161.99283137,487.2,9998,-5163.0
5906107108,-154.5948,-37.69371,-5348.126,371.3318,-1,33400,-5345.65609739,551.7,9998,-5346.0
5906107109,-154.6251,-37.59286,-5262.652,325.5305,-1,33400,-5278.3890859,476.1,9998,-5276.0
