-8.41322256757	47.3420837163	-2628.4802722	17
-8.44262935477	47.295239861	-3109.63494125	17
-8.45013112968	47.3728460398	-2414.65791706	17
-8.4271422137	47.3302649129	-2719.0417833	17
-8.28658540864	47.3345622764	-2540.57925976	17
-8.38708651371	47.3508110615	-2572.29816314	17
-18.6630948462	46.4379744217	-4000.99082203	40
-18.6334868149	46.420082816	-3830.25002301	40
-8.45039848374	47.3466622046	-2634.01208468	17
-18.6178204496	46.391514281	-3782.85721592	40
-18.6002728992	46.3525364123	-3796.89862027	40
-21.7713217006	46.4487739412	-4115.98013394	11
-18.5441556703	46.2538769178	-3781.09438984	40
-18.5521234776	46.1759052632	-3817.6966531	40
-19.7759792749	46.1958358744	-4502.03080506	40
-18.618124972	46.1372640104	-3963.96536146	40
-21.3254846805	44.3569057468	-3876.5572097	40
-21.5179985448	44.4537363151	-3857.47906029	11
-21.6810725004	44.6029774896	-3874.02937286	11
-21.8205262139	46.0966691234	-3759.01928662	40
-23.4707028943	45.2973601561	-3021.14206329	40
-23.8878989808	45.3390367807	-3190.36235401	40
-35.2324772264	52.7564338324	-3278.91532368	44
-35.5652036221	52.7449200723	-3539.79512309	40
-38.4534182338	52.6263909957	-3548.15548767	40
-36.7455324116	52.9039676207	-3802.19687811	11
-35.5203932525	52.7720231911	-3403.23765213	40
-36.5876187411	52.8685767639	-3818.46090173	40
-37.463669461	52.9555981349	-3475.48274531	40
-37.0652549658	53.0098933497	-3359.86572045	11
-19.4254809059	50.9695043831	-4000.28970776	40
-19.5140359431	50.9020794329	-3787.15116834	40
-19.4752910982	50.8272253528	-3774.63177783	40
-19.5188590572	50.84435143	-3763.51603849	40
-19.5494008596	50.8435215923	-3746.92188373	40
-37.4991046002	53.0000392069	-3621.10958551	40
-19.5593844874	50.8519620807	-3743.23042643	40
-19.5595656818	50.852023802	-3743.19617767	40
-19.4753532208	50.8271882108	-3774.69643268	40
-19.3672683622	50.8461663744	-3845.19197211	40
-19.327207011	50.7720891853	-3796.27636559	40
-19.4226900024	50.7310946448	-3817.18766699	40
-19.5257744752	50.7204939155	-3795.05393711	40
-19.6161493607	50.7502839983	-3730.01910146	40
-19.5833961604	50.7487026364	-3727.37570523	40
-19.5853862309	50.7353206524	-3742.17304979	44
-19.5662631179	50.7147397949	-3769.06673318	40
-19.507967982	50.7469190759	-3798.4696676	40
-39.0085744431	53.2653539062	-3531.92674644	40
-39.4524276124	53.2320226383	-3545.00931262	40
-40.0120047208	53.1454575937	-3615.03906469	40
-40.4308517912	52.967335101	-3632.62290683	11
-39.4151149569	53.0446125225	-3567.86245456	40
-41.5926300365	52.907712764	-3702.21806215	11
-42.0084806713	52.6534943362	-3268.56232641	11
-32.8768467391	52.2016016665	-3834.97433976	44
-34.9000364821	52.2487554629	-3392.14614192	40
-35.7969971503	52.5996276586	-3204.54199284	40
-36.3791887481	52.6337828708	-3049.13955877	40
-36.6822527891	52.6049608017	-3368.32164471	40
-45.6394050745	50.1953553485	-3557.15741709	11
-36.0397545173	52.8488966297	-3218.45106991	40
-43.6741170345	48.9084854429	-3278.299593	11
-20.5523843329	48.4885683785	-4048.82633999	40
-35.958977377	52.8652738034	-2940.28100147	40
-43.3055479474	48.5081875278	-3345.07101852	40
