lat,lon,grnd,gebco,uncertainty,tid_flag
-14.15102,-36.48227,4312.804,4303.0,1297.0,9998
-14.36448,-36.04385,4459.946,4465.0,1244.5,9998
-13.90241,-35.7017,4446.111,4450.0,1335.2,-1
-13.70689,-34.92832,4520.147,4521.0,1808.6,9998
-13.57831,-34.68495,4488.238,4483.0,1705.0,-1
-13.22348,-34.84031,4443.024,4454.0,1360.9,9998
-12.80283,-35.09611,4356.893,4359.0,517.8,9998
-12.58968,-34.96577,4376.512,4380.0,371.0,-1
-12.76869,-34.67423,4441.061,4441.0,927.3,9998
-13.47775,-34.94802,4465.375,4463.0,1617.9,9998
-14.0601,-35.18758,4559.503,4554.0,1961.2,9998
-14.62798,-35.12038,4544.691,4493.0,1670.1,9998
-14.39646,-34.85201,4588.342,4593.0,2016.8,9998
-15.54816,-35.4824,4450.941,4450.0,1372.9,9998
-16.50723,-35.53858,4193.821,4194.0,743.4,9998
-17.69729,-35.50528,3775.396,3948.0,2390.5,9998
-17.33405,-35.13976,4251.343,4254.0,1519.5,9998
-16.95149,-34.37111,4392.3,4396.0,1682.1,9998
-17.15984,-34.07945,4431.596,4440.0,1490.1,9998
-17.29091,-33.91917,4469.928,4475.0,1372.9,9998
-17.45745,-34.19165,4438.538,4448.0,1205.5,9998
-17.8848,-34.40868,4347.185,4345.0,930.0,9998
-18.33419,-34.60652,4243.611,4268.0,691.1,9998
-18.61433,-34.91843,4142.274,4122.0,867.0,9998
-18.69525,-34.81338,4192.36,4196.0,750.2,9998
-19.09415,-34.06475,4204.546,4199.0,509.4,9998
-19.16963,-34.52951,4189.128,4145.0,278.6,-1
-18.79185,-34.19056,4267.571,4278.0,454.6,9998
-19.17159,-33.80931,4247.601,4248.0,557.4,9998
-18.99199,-33.72877,4268.302,4255.0,637.9,9998
-18.93403,-33.18052,4265.101,4278.0,407.7,9998
-18.68363,-32.85922,4321.278,4312.0,449.6,-1
-18.44358,-32.83558,4375.785,4373.0,692.6,9998
-18.22652,-32.74851,4439.036,4446.0,938.4,9998
-18.33232,-32.3979,4447.773,4441.0,770.5,9998
-18.62317,-32.33834,4298.79,4349.0,298.8,9998
-18.74125,-32.45358,4230.261,4230.0,181.3,9998
-18.88535,-32.70775,4202.647,4234.0,259.6,9998
-18.94523,-32.96846,4253.503,4256.0,373.7,9998
-19.10269,-33.23046,4209.125,4223.0,328.0,9998
-18.97822,-33.47173,4265.87,4281.0,488.0,9998
-18.93049,-33.88982,4278.353,4276.0,643.8,9998
-18.70886,-33.83624,4317.667,4319.0,666.1,9998
-18.617,-33.78398,4328.6,4334.0,670.6,9998
-18.33652,-33.18445,4361.785,4384.0,782.0,9998
-18.5732,-32.91248,4325.981,4328.0,577.0,9998
-18.49791,-32.93794,4347.137,4358.0,652.6,9998
-18.31707,-32.85933,4397.045,4409.0,832.7,9998
-17.10619,-33.76573,4467.244,4482.0,1528.0,-1
