WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
690298446,-22.846675,0.015966667,-3677.165635,2710.680192,-1,33401,-3805.2154383,2606.4,9998,-3833.0
690298350,-10.76724667,-8.914886667,-3758.7832,827.4183631,9998,33401,-3637.45329449,785.5,-1,-3641.0
690176378,-17.33646833,44.12488667,-3587.800081,1099.125405,9998,33401,-3630.78994446,686.2,-1,-3627.0
690281877,-32.391005,64.87597833,-2003.358989,1590.562652,-1,33401,-2015.03856189,2014.1,9998,-2016.0
690326858,20.206625,36.220465,-3214.274674,325.0417288,-1,33401,-3262.57172242,307.6,9998,-3262.0
690298447,-22.83395667,0.001203333,-3696.714566,2791.371003,-1,33401,-3698.71399994,2667.9,9998,-3696.0
690355745,-6.999493333,70.26277667,-2398.366822,2164.504733,-1,33401,-2367.3722814,840.6,9998,-2412.0
69029783,-41.72135667,47.66729833,-3513.489893,5613.033549,9998,33401,-3732.35865232,5413.7,9998,-3779.0
6902811110,-37.0378,54.38260167,-3044.936055,704.2194726,9998,33401,-2807.87179874,322.1,9998,-2837.0
69017564,-30.381195,47.74216333,-3234.341052,1082.529696,9998,33401,-3257.19612735,1053.4,9998,-3279.0
69029724,-30.29976333,47.72155333,-3658.7508,1273.343861,9998,33401,-3506.14377952,1228.1,9998,-3519.0
690298448,-22.82069333,0.020153333,-3727.989273,2721.879461,-1,33401,-3713.57431996,2624.1,9998,-3734.0
690288177,-33.96689167,63.33464333,-2741.863784,682.8764523,9998,33401,-2727.72440178,655.7,9998,-2727.0
690288277,-38.81947,58.24177,-3211.831297,1100.675259,-1,33401,-3199.38401131,1061.2,9998,-3200.0
690326859,20.05543,36.29071,-3221.098642,307.1924513,-1,33401,-3285.02160198,289.7,9998,-3292.0
690298449,-22.77872333,0.012575,-3846.207019,2860.949438,-1,33401,-3990.63820952,2712.6,9998,-4025.0
690176379,-17.18650667,44.19151333,-3706.737258,1074.739243,9998,33401,-3865.74335986,712.1,-1,-3859.0
690326860,20.060335,36.22902,-3208.405918,419.2594894,9998,33401,-3275.32634429,397.0,9998,-3277.0
690355746,-6.81844,70.30156667,-2444.349402,1278.440498,-1,33401,-2486.74574625,825.6,9998,-2486.0
6902811111,-36.987155,54.409975,-2594.142147,1051.223716,9998,33401,-2508.69721624,345.5,9998,-2514.0
69029725,-30.21424,47.66245,-3546.650833,1321.138673,-1,33401,-3482.59303742,1284.9,9998,-3489.0
69017565,-30.29841167,47.63164667,-3528.131194,1339.850431,-1,33401,-3528.61213316,1290.2,9998,-3529.0
690288178,-33.19923,63.5321,-2737.913896,890.4928548,9998,33401,-2754.5048687,882.5,9998,-2755.0
690288278,-39.230745,58.27004167,-3198.16271,776.5559013,-1,33401,-3210.00565731,702.9,9998,-3210.0
690326861,20.05268667,36.17122167,-3294.446574,565.6093937,9998,33401,-3196.27813894,536.0,-1,-3195.0
690298452,-22.713995,0.049121667,-3602.863977,2511.232287,-1,33401,-3548.08060383,2390.2,9998,-3550.0
69029701,-51.05096167,52.82215,-2404.495665,7217.681587,9998,33401,-2227.43968579,6935.6,9998,-2225.0
69030291,-51.0156,52.82976,-2350.594833,6796.720133,9998,33401,-2314.99565224,6685.6,9998,-2321.0
690298453,-22.75272333,0.13847,-3578.417105,2207.238352,-1,33401,-3595.82438387,2091.6,9998,-3599.0
690281879,-36.06018833,62.603455,-2639.348807,577.4469814,9998,33401,-2614.7256008,549.5,9998,-2615.0
690326862,20.084305,36.07274833,-3294.475066,652.020866,9998,33401,-3231.41637524,622.4,9998,-3233.0
69030301,-52.94772,56.59886,-3465.860225,1841.510361,-1,33401,-3418.76770873,1773.6,9998,-3419.0
69029761,-52.946665,56.58779833,-3468.787777,1886.638893,-1,33401,-3414.88714279,1818.5,9998,-3417.0
69030341,-51.1225,59.03627,-3491.469205,1406.975976,9998,33401,-3491.84278645,1374.1,-1,-3492.0
69030321,-51.15711,59.02619167,-3493.42098,1437.273513,9998,33401,-3491.97938525,1406.4,-1,-3492.0
690355747,-6.472973333,70.416545,-2516.71925,1453.774879,-1,33401,-2518.09477893,551.0,9998,-2517.0
690298454,-22.74326333,0.172746667,-3629.263305,2099.86839,-1,33401,-3677.71076502,1985.7,9998,-3669.0
6902811112,-36.88227,54.54061,-2703.716164,1293.078152,9998,33401,-2964.34004989,533.3,9998,-2966.0
69017566,-30.33573,47.62396,-3514.479234,1286.979135,-1,33401,-3418.22523961,1280.1,9998,-3424.0
69029726,-30.28270833,47.63367333,-3545.685004,1330.172955,-1,33401,-3524.99931793,1300.0,9998,-3523.0
69028861,-46.99556,59.45063,-2527.473668,1623.78614,-1,33401,-2480.28530969,1476.7,9998,-2472.0
69028881,-47.02317167,59.42693,-2547.05255,1083.588821,-1,33401,-2607.59397761,999.4,9998,-2607.0
690288179,-33.59226667,63.843545,-2521.725369,765.7622799,9998,33401,-2561.91946285,727.7,9998,-2561.0
690288279,-38.76555667,58.15757,-2992.19498,940.2309261,-1,33401,-3008.13189458,884.3,9998,-3023.0
69035721,0.410668333,70.239785,-3169.091031,1219.024637,-1,33401,-3038.25848655,1288.2,9998,-3039.0
690326863,20.03218667,35.986545,-3218.251584,517.4228274,-1,33401,-3229.87339279,758.6,9998,-3228.0
690298359,-10.946,-8.97392,-3402.862361,759.3301948,9998,33401,-3559.31049813,717.3,-1,-3562.0
690298360,-11.02438,-8.97731,-3314.772742,753.5747439,9998,33401,-3421.1267108,712.7,-1,-3423.0
690281880,-37.10504,62.78581,-2175.250433,1197.615844,9998,33401,-2166.70245052,1373.0,9998,-2167.0
690326864,19.99899167,35.92038,-3209.470601,856.4060427,-1,33401,-3206.14973234,811.3,9998,-3200.0
69030342,-52.64271167,59.15804667,-3486.56231,1149.336491,9998,33401,-3474.97881782,1092.8,-1,-3475.0
69030302,-52.827045,56.22180667,-3506.909344,2325.525392,9998,33401,-3506.95106501,2250.9,9998,-3508.0
69029762,-52.926645,56.327985,-3506.877595,2457.922553,-1,33401,-3552.6753067,2372.3,9998,-3553.0
69030322,-52.54233,59.17369,-3487.532343,1267.525578,9998,33401,-3477.80417585,1209.7,-1,-3478.0
690355748,-6.856118333,70.382685,-2492.272074,982.4873318,-1,33401,-2406.7179831,736.5,9998,-2407.0
6902811113,-36.69381,54.50159,-2885.623831,1922.555681,-1,33401,-2896.08630548,702.4,9998,-2896.0
69028882,-49.32847,60.10677,-2971.21122,526.1661809,-1,33401,-3014.28231831,638.1,9998,-3014.0
69028862,-49.20808167,60.180135,-2925.284852,3843.157651,-1,33401,-3014.89452235,3895.9,9998,-3018.0
69029727,-30.43672833,47.63005,-3232.421177,1159.860079,-1,33401,-3241.25848832,1121.5,9998,-3233.0
690355612,-3.303141667,66.99327667,-3132.67158,313.8458497,-1,33401,-3242.421506,303.5,9998,-3241.0
69017567,-30.48935833,47.71527833,-3404.208763,1132.380967,-1,33401,-3387.04113995,1082.9,9998,-3390.0
690288180,-33.35657,63.43634,-2754.549868,847.1528423,-1,33401,-2771.61466116,863.5,9998,-2771.0
690288280,-38.66773167,58.786335,-3142.400352,928.6129893,-1,33401,-3152.67774417,982.7,9998,-3152.0
690297514,-40.11552167,51.53471333,-3473.249487,2048.289805,-1,33401,-3353.99680266,1980.5,9998,-3339.0
690326865,20.08914,35.88677,-3171.344049,783.2026181,-1,33401,-3193.10316966,750.1,9998,-3189.0
69030293,-48.99852167,51.36347167,-2703.49989,5222.571389,9998,33401,-2791.77037244,5005.9,9998,-2792.0
69029703,-48.66518833,51.36510333,-2992.982541,2169.676778,9998,33401,-3049.72748115,2018.6,-1,-3049.0
690297515,-40.28136167,51.64437,-2613.380621,1701.693039,9998,33401,-2998.05542884,1641.7,-1,-3000.0
