lat,lon,grnd,gebco,uncertainty,tid_flag
47.332098333333334,-8.415111666666666,2714.2833426808934,2683.0,576.2,9998
47.28796,-8.44442,3399.4631028278777,3153.0,643.0,9998
47.36294,-8.4522,2704.485936314971,2491.0,558.0,9998
47.32104666666667,-8.429085,2788.673715910947,2761.0,570.1,9998
47.32392,-8.28732,2736.800112715994,2577.0,644.5,9998
47.34028,-8.388766666666667,2627.1371626465475,2640.0,578.3,9998
46.43701333333333,-18.664968333333334,3980.6402206857806,4007.0,144.1,9998
46.418218333333336,-18.637075,3870.62463074997,3831.0,232.1,9998
47.33855,-8.4522,2823.8965083052913,2691.0,570.8,9998
46.389131666666664,-18.623478333333335,3771.2756518071537,3784.0,326.7,9998
46.34957,-18.608663333333332,3758.6227141221507,3795.0,455.2,-1
46.46315,-21.73365,3782.941491134626,4211.0,1920.4,9998
46.24975666666667,-18.556433333333334,3785.938744338373,3775.0,669.3,9998
46.172,-18.56606,3812.2700081669836,3803.0,737.4,9998
46.1806,-19.77937,3790.8342461424336,4458.0,990.4,9998
46.13458,-18.631463333333333,3922.337411269851,3925.0,758.4,9998
44.34843,-21.3259,3967.7763441851794,3874.0,648.9,9998
44.44269,-21.52128,3785.5954137547483,3825.0,789.2,9998
44.59508,-21.68906,3783.5933295871046,3858.0,887.2,9998
46.10603,-21.7918,3931.1108013860535,3849.0,1619.2,-1
45.298941666666664,-23.452438333333333,3195.993560100036,3001.0,876.3,-1
45.34636,-23.86916,3359.0729774655974,2989.0,1163.5,9998
52.75759,-35.18626,2905.620375337745,3195.0,1256.1,9998
52.7448,-35.53079,3518.6972181295523,3493.0,1400.4,9998
52.63103,-38.41965,3469.008378735817,3525.0,1330.2,9998
52.8989,-36.72713,3162.5382820705054,3878.0,635.0,9998
52.77164,-35.48567833333333,3484.5658172827375,3472.0,1375.1,9998
52.86352,-36.57002,3475.762089511556,3590.0,771.7,9998
52.94799,-37.44153,3415.275115604586,3541.0,949.7,9998
53.00534,-37.04876,3314.778383029178,3423.0,624.3,9998
50.97954,-19.40841,3974.1225736637202,4029.0,1244.3,9998
50.91191,-19.49686,3907.9708765803625,3789.0,1222.5,9998
